mobility_period,total_ages1_up,non_movers,movers_total,movers_domestic,movers_same_county,movers_total_new_county,movers_new_county_same_state,movers_new_county_new_state,movers_from_abroad,total_ages1_up_per,non_movers_per,movers_total_per,movers_domestic_per,movers_same_county_per,movers_total_new_county_per,movers_new_county_same_state_per,movers_new_county_new_state_per,movers_from_abroad_per
2019-2020,321620,291840,29780,28814,17522,11292,7059,4233,966,100,90.7,9.3,9,5.4,3.5,2.2,1.3,0.3
2018-2019,320667,289296,31371,30234,18833,11401,6663,4738,1137,100,90.2,9.8,9.4,5.9,3.6,2.1,1.5,0.4
2017-2018,319319,286967,32352,31186,19852,11334,6496,4838,1165,100,89.9,10.1,9.8,6.2,3.6,2,1.5,0.4
2016-2017,316550,281647,34902,33647,21614,12033,6668,5366,1255,100,89,11,10.6,6.8,3.8,2.1,1.7,0.4
2015-2016,314992,279854,35138,33857,21588,12269,7501,4768,1281,100,88.8,11.2,10.7,6.9,3.9,2.4,1.5,0.4
2014-2015,312295,275971,36324,34651,22905,11746,6653,5093,1673,100,88.4,11.6,11.1,7.3,3.8,2.1,1.6,0.5
2013-2014,309601,273920,35681,34548,23436,11112,6446,4666,1133,100,88.5,11.5,11.2,7.6,3.6,2.1,1.5,0.4
2012-2013,307243,271325,35918,34882,23150,11731,6961,4770,1036,100,88.3,11.7,11.4,7.5,3.8,2.3,1.6,0.3
2011-2012,304924,268436,36488,35334,23493,11842,6782,5059,1154,100,88,12,11.6,7.7,3.9,2.2,1.7,0.4
2010-2011,302640,267602,35038,33953,23330,10623,5868,4756,1084,100,88.4,11.6,11.2,7.7,3.5,1.9,1.6,0.4
2009-2010,300419,262975,37445,36459,25910,10549,6227,4323,985,100,87.5,12.5,12.1,8.6,3.5,2.1,1.4,0.3
2008-2009,297182,260077,37105,36017,24984,11034,6374,4660,1087,100,87.5,12.5,12.1,8.4,3.7,2.1,1.6,0.4
2007-2008,294851,259685,35167,34022,23013,11009,6282,4728,1145,100,88.1,11.9,11.5,7.8,3.7,2.1,1.6,0.4
2006-2007,292749,254068,38681,37490,25192,12298,7436,4862,1191,100,86.8,13.2,12.8,8.6,4.2,2.5,1.7,0.4
2005-2006,289781,249945,39837,38541,24851,13690,8010,5679,1296,100,86.3,13.7,13.3,8.6,4.7,2.8,2,0.4
2004-2005,287148,247261,39888,38023,22736,15287,7847,7441,1865,100,86.1,13.9,13.2,7.9,5.3,2.7,2.6,0.6
2003-2004,284367,245372,38995,37723,22551,15172,7842,7330,1272,100,86.3,13.7,13.3,7.9,5.3,2.8,2.6,0.4
2002-2003,282556,242463,40093,38824,23468,15356,7728,7628,1269,100,85.8,14.2,13.7,8.3,5.4,2.7,2.7,0.4
2001-2002,278160,237049,41111,39548,23712,15836,8066,7770,1563,100,85.2,14.8,14.2,8.5,5.7,2.9,2.8,0.6
2000-2001,275611,236605,39007,37251,21918,15333,7550,7783,1756,100,85.8,14.2,13.5,8,5.6,2.7,2.8,0.6
1999-2000,270219,226831,43388,41642,24399,17242,8814,8428,1746,100,83.9,16.1,15.4,9,6.4,3.3,3.1,0.6
1998-1999,267933,225297,42636,41207,25268,15939,8423,7516,1429,100,84.1,15.9,15.4,9.4,5.9,3.1,2.8,0.5
1997-1998,265209,222702,42507,41304,27082,14222,7867,6355,1203,100,84,16,15.6,10.2,5.4,3,2.4,0.5
1996-1997,262976,219585,43391,42088,27740,14348,7960,6389,1303,100,83.5,16.5,16,10.5,5.5,3,2.4,0.5
1995-1996,260406,217868,42537,41176,26696,14480,8009,6471,1361,100,83.7,16.3,15.8,10.3,5.6,3.1,2.5,0.5
1994-1995,258248,215931,42317,41539,27908,13631,7888,5743,778,100,83.6,16.4,16.1,10.8,5.3,3.1,2.2,0.3
1993-1994,255774,212939,42835,41590,26638,14952,8226,6726,1245,100,83.3,16.7,16.3,10.4,5.8,3.2,2.6,0.5
1992-1993,252799,209700,43099,41704,26932,14772,7855,6916,1395,100,83,17,16.5,10.7,5.8,3.1,2.7,0.6
1991-1992,247380,204580,42800,41545,26587,14957,7853,7105,1255,100,82.7,17.3,16.8,10.7,6,3.2,2.9,0.5
1990-1991,244884,203345,41539,40154,25151,15003,7881,7122,1385,100,83,17,16.4,10.3,6.1,3.2,2.9,0.6
1989-1990,242208,198827,43381,41821,25726,16094,8061,8033,1560,100,82.1,17.9,17.3,10.6,6.6,3.3,3.3,0.6
1988-1989,239793,197173,42620,41153,26123,15030,7949,7081,1467,100,82.2,17.8,17.2,10.9,6.3,3.3,3,0.6
1987-1988,237431,195258,42174,40974,26201,14772,7727,7046,1200,100,82.2,17.8,17.3,11,6.2,3.3,3,0.5
1986-1987,235089,191396,43693,42551,27196,15355,8762,6593,1142,100,81.4,18.6,18.1,11.6,6.5,3.7,2.8,0.5
1985-1986,232998,189760,43237,42037,26401,15636,8665,6971,1200,100,81.4,18.6,18,11.3,6.7,3.7,3,0.5
1984-1985,230333,183863,46470,45043,30126,14917,7995,6921,1427,100,79.8,20.2,19.6,13.1,6.5,3.5,3,0.6
1983-1984,228232,188853,39379,38300,23659,14641,8198,6444,1079,100,82.7,17.3,16.8,10.4,6.4,3.6,2.8,0.5
1982-1983,225874,188465,37408,36430,22858,13572,7403,6169,978,100,83.4,16.6,16.1,10.1,6,3.3,2.7,0.4
1981-1982,223719,185592,38127,37039,23081,13959,7330,6628,1088,100,83,17,16.6,10.3,6.2,3.3,3,0.5
1980-1981,221641,183442,38200,36887,23097,13789,7614,6175,1313,100,82.8,17.2,16.6,10.4,6.2,3.4,2.8,0.6
1975-1976,208069,171276,36793,35645,22399,13246,7106,6140,1148,100,82.3,17.7,17.1,10.8,6.4,3.4,3,0.6
1970-1971,201506,163800,37705,36161,23018,13143,6197,6946,1544,100,81.3,18.7,17.9,11.4,6.5,3.1,3.4,0.8
1969-1970,198955,160860,38095,36541,23225,13316,6250,7066,1554,100,80.9,19.1,18.4,11.7,6.7,3.1,3.6,0.8
1968-1969,196642,159310,37332,35933,22993,12940,6316,6625,1399,100,81,19,18.3,11.7,6.6,3.2,3.4,0.7
1967-1968,194621,156735,37886,36603,22960,13643,6607,7035,1283,100,80.5,19.5,18.8,11.8,7,3.4,3.6,0.7
1966-1967,192233,155710,36523,35200,22339,12861,6308,6553,1323,100,81,19,18.3,11.6,6.7,3.3,3.4,0.7
1965-1966,190242,152656,37586,36703,24165,12538,6275,6263,883,100,80.2,19.8,19.3,12.7,6.6,3.3,3.3,0.5
1964-1965,187974,149128,38846,37866,25122,12744,6597,6147,978,100,79.3,20.7,20.1,13.4,6.8,3.5,3.3,0.5
1963-1964,185312,148125,37187,36327,24089,12238,6191,6047,859,100,79.9,20.1,19.6,13,6.6,3.3,3.3,0.5
1962-1963,182541,146109,36432,35411,23059,12352,5712,6640,1021,100,80,20,19.4,12.6,6.8,3.1,3.6,0.6
1961-1962,179663,144445,35218,34364,23341,11023,5461,5562,854,100,80.4,19.6,19.1,13,6.1,3,3.1,0.5
1960-1961,177354,140821,36533,35535,24289,11246,5493,5753,998,100,79.4,20.6,20,13.7,6.3,3.1,3.2,0.6
1959-1960,174451,139766,34685,33811,22564,11247,5724,5523,874,100,80.1,19.9,19.4,12.9,6.4,3.3,3.2,0.5
1958-1959,170658,137018,33640,32804,22315,10489,5419,5070,836,100,80.3,19.7,19.2,13.1,6.1,3.2,3,0.5
1957-1958,167604,133501,34103,33263,22023,11240,5656,5584,840,100,79.7,20.3,19.8,13.1,6.7,3.4,3.3,0.5
1956-1957,164371,131648,32723,31834,21566,10268,5192,5076,889,100,80.1,19.9,19.4,13.1,6.2,3.2,3.1,0.5
1955-1956,161497,127457,34040,33098,22186,10912,5859,5053,942,100,78.9,21.1,20.5,13.7,6.8,3.6,3.1,0.6
1954-1955,158609,126190,32419,31492,21086,10406,5511,4895,927,100,79.6,20.4,19.9,13.3,6.6,3.5,3.1,0.6
1953-1954,155679,125654,30025,29027,19046,9981,4947,5034,998,100,80.7,19.3,18.6,12.2,6.4,3.2,3.2,0.6
1952-1953,153038,121512,31526,30786,20638,10148,4626,5522,740,100,79.4,20.6,20.1,13.5,6.6,3,3.6,0.5
