mobility_start,mobility_period,movers_total,family_marital_status_change,family_establish_own_household,family_other,job_new,job_seeking,job_better_commute,job_retired,job_other,housing_ownership,housing_upsize,housing_better_neighborhood,housing_cheaper,housing_eviction,housing_other,other_relationship,other_college,other_climate,other_health,other_natural_disaster,other_other,movers_total_per,family_marital_status_change_per,family_establish_own_household_per,family_other_per,family_comb_per,job_new_per,job_seeking_per,job_better_commute_per,job_retired_per,Job_comb_per,job_other_per,housing_ownership_per,housing_upsize_per,housing_better_neighborhood_per,housing_cheaper_per,housing_eviction_per,housing_other_per,other_relationship_per,other_college_per,other_climate_per,other_health_per,other_natural_disaster_per,other_other_per
2019,2019-2020,29780,1827,3171,2596,3399,520,1465,398,114,2328,4339,1233,1978,190,1889,1528,938,115,596,111,1046,100,6.1,10.6,8.7,25.4,11.4,1.7,4.9,1.3,19.7,0.4,7.8,14.6,4.1,6.6,0.6,6.3,5.1,3.1,0.4,2,0.4,3.5
2018,2018-2019,31371,1555,3588,3252,3781,278,1932,305,367,1982,5338,936,2094,216,2110,0,814,226,733,173,1691,100,5,11.4,10.4,26.8,12.1,0.9,6.2,1,21.4,1.2,6.3,17,3,6.7,0.7,6.7,0,2.6,0.7,2.3,0.6,5.4
2017,2017-2018,32352,1435,4073,3583,3341,492,1821,348,366,2350,5300,844,2551,215,2156,0,903,215,579,174,1605,100,4.4,12.6,11.1,28.1,10.3,1.5,5.6,1.1,19.6,1.1,7.3,16.4,2.6,7.9,0.7,6.7,0,2.8,0.7,1.8,0.5,5
2016,2016-2017,34902,1786,4023,3928,3462,453,1924,290,317,2554,5576,969,2895,373,2647,0,1030,184,672,91,1726,100,5.1,11.5,11.3,27.9,9.9,1.3,5.5,0.8,18.4,0.9,7.3,16,2.8,8.3,1.1,7.6,0,3,0.5,1.9,0.3,5
2015,2015-2016,35138,1679,4283,3683,3807,531,2094,228,426,2075,6126,1096,2871,305,2351,0,1137,269,628,17,1532,100,4.8,12.2,10.5,27.5,10.8,1.5,6,0.7,20.2,1.2,5.9,17.4,3.1,8.2,0.9,6.7,0,3.2,0.8,1.8,0.1,4.4
2014,2014-2015,36324,2122,3989,5178,3848,583,1789,417,835,1912,5567,1056,2709,272,5233,0,108,66,106,0,534,100,5.8,11,14.3,31.1,10.6,1.6,4.9,1.1,20.5,2.3,5.3,15.3,2.9,7.5,0.7,14.4,0,0.3,0.2,0.3,0,1.5
2013,2013-2014,35681,1742,3966,4797,3471,745,2211,249,694,2004,5629,1054,3356,477,4578,0,177,31,129,10,359,100,4.9,11.1,13.4,29.4,9.7,2.1,6.2,0.7,20.7,2,5.6,15.8,3,9.4,1.3,12.8,0,0.5,0.1,0.4,0,1
2012,2012-2013,35918,1817,3753,5301,3242,750,1941,237,809,2099,5332,1135,2989,654,5016,0,215,20,136,11,462,100,5.1,10.5,14.8,30.4,9,2.1,5.4,0.7,19.5,2.3,5.8,14.8,3.2,8.3,1.8,14,0,0.6,0.1,0.4,0,1.3
2011,2011-2012,36488,2300,3906,4487,3470,659,1997,182,750,1711,5810,1229,3260,792,5239,0,198,16,101,55,328,100,6.3,10.7,12.3,29.3,9.5,1.8,5.5,0.5,19.4,2.1,4.7,15.9,3.4,8.9,2.2,14.4,0,0.5,0,0.3,0.2,0.9
2010,2010-2011,35038,1939,3325,4494,2801,909,2068,110,534,1544,5690,1379,3696,412,3062,0,896,149,564,32,1435,100,5.5,9.5,12.8,27.8,8,2.6,5.9,0.3,18.3,1.5,4.4,16.2,3.9,10.5,1.2,8.7,0,2.6,0.4,1.6,0.1,4.1
2009,2009-2010,37445,2731,4188,4407,2935,951,1583,199,481,1725,5772,1553,4056,0,3269,0,1024,238,565,108,1658,100,7.3,11.2,11.8,30.3,7.8,2.5,4.2,0.5,16.3,1.3,4.6,15.4,4.1,10.8,0,8.7,0,2.7,0.6,1.5,0.3,4.4
