mobility_period,movers_total_new_county,movers_new_county_under_50miles,movers_new_county_50_199miles,movers_new_county_200_499miles,movers_new_county_over_500miles,movers_total_new_county_per,movers_new_county_under_50miles_per,movers_new_county_50_199miles_per,movers_new_county_200_499miles_per,movers_new_county_over_500miles_per
2019-2020,11292,4426,2884,1692,2289,100,39.2,25.5,15,20.3
2018-2019,11401,4510,2569,1651,2670,100,39.6,22.5,14.5,23.4
2017-2018,11334,4313,2446,1678,2897,100,38.1,21.6,14.8,25.6
2016-2017,12033,4781,2414,1788,3051,100,39.7,20.1,14.9,25.4
2015-2016,12269,5191,2562,1691,2825,100,42.3,20.9,13.8,23
2014-2015,11746,4419,2449,2004,2875,100,37.6,20.8,17.1,24.5
2013-2014,11112,4467,2396,1515,2733,100,40.2,21.6,13.6,24.6
2012-2013,11731,4720,2458,1661,2892,100,40.2,21,14.2,24.7
2011-2012,11842,4762,2444,1623,3013,100,40.2,20.6,13.7,25.4
2010-2011,10623,4097,2259,1479,2788,100,38.6,21.3,13.9,26.2
2009-2010,10549,4118,2251,1523,2658,100,39,21.3,14.4,25.2
2008-2009,11034,4407,2402,1568,2657,100,39.9,21.8,14.2,24.1
2007-2008,11009,4449,2112,1610,2838,100,40.4,19.2,14.6,25.8
2006-2007,12299,5149,2582,1802,2765,100,41.9,21,14.7,22.5
2005-2006,13690,5595,2910,2092,3092,100,40.9,21.3,15.3,22.6
2004-2005,15287,4657,3752,3007,3870,100,30.5,24.5,19.7,25.3
2003-2004,15171,4665,3722,3186,3598,100,30.7,24.5,21,23.7
2002-2003,15356,4953,3407,3177,3819,100,32.3,22.2,20.7,24.9
